species_name,species_code,period,metric,mean,median,sd
Aedes_mediovittatus,Aem,Baseline,abundance,1.864902522,1.694054127,0.495602379
Aedes_mediovittatus,Aem,January,presence,0.175933621,0.155575976,0.075050508
Aedes_mediovittatus,Aem,February,presence,0.181825012,0.163278222,0.078651033
Aedes_mediovittatus,Aem,March,presence,0.178235491,0.169588804,0.071512251
Aedes_mediovittatus,Aem,April,presence,0.143368478,0.123160888,0.068891352
Aedes_mediovittatus,Aem,May,presence,0.088167257,0.06040759,0.065022955
Aedes_mediovittatus,Aem,June,presence,0.107952232,0.080416791,0.072153296
Aedes_mediovittatus,Aem,July,presence,0.126815938,0.108413093,0.070305984
Aedes_mediovittatus,Aem,August,presence,0.139243147,0.11298015,0.089078925
Aedes_mediovittatus,Aem,September,presence,0.092404805,0.064981434,0.067584349
Aedes_mediovittatus,Aem,October,presence,0.075337433,0.06040759,0.04497802
Aedes_mediovittatus,Aem,November,presence,0.149684341,0.133664832,0.068775188
Aedes_mediovittatus,Aem,December,presence,0.15876376,0.142388865,0.067486395
Aedes_mediovittatus,Aem,January,abundance,1.562038157,1.401771545,0.352456556
Aedes_mediovittatus,Aem,February,abundance,1.6517659,1.397242308,0.436706406
Aedes_mediovittatus,Aem,March,abundance,1.730294889,1.398415565,0.528263834
Aedes_mediovittatus,Aem,April,abundance,1.858802197,1.719930053,0.513334185
Aedes_mediovittatus,Aem,May,abundance,1.858650121,1.791364312,0.454361267
Aedes_mediovittatus,Aem,June,abundance,1.858481762,1.755955875,0.455869479
Aedes_mediovittatus,Aem,July,abundance,1.850265853,1.74085927,0.428057317
Aedes_mediovittatus,Aem,August,abundance,2.028739741,2.083034039,0.485554263
Aedes_mediovittatus,Aem,September,abundance,1.822444333,1.766111016,0.396932031
Aedes_mediovittatus,Aem,October,abundance,1.780138558,1.697704077,0.390282223
Aedes_mediovittatus,Aem,November,abundance,1.766007664,1.580713034,0.514536944
Aedes_mediovittatus,Aem,December,abundance,1.623690686,1.409567833,0.432382179
Culex_nigripalpus,Cxn,Baseline,presence,0.293946384,0.256160349,0.180187393
Culex_nigripalpus,Cxn,Baseline,abundance,8.331172362,7.957112312,2.905280222
Culex_nigripalpus,Cxn,January,presence,0.65885633,0.67597419,0.124253855
Culex_nigripalpus,Cxn,February,presence,0.676370027,0.684812248,0.12131413
Culex_nigripalpus,Cxn,March,presence,0.662433696,0.713141799,0.150429762
Culex_nigripalpus,Cxn,April,presence,0.346646239,0.318159312,0.201816111
Culex_nigripalpus,Cxn,May,presence,0.133692163,0.106480218,0.089749467
Culex_nigripalpus,Cxn,June,presence,0.161337337,0.119378559,0.124876636
Culex_nigripalpus,Cxn,July,presence,0.242382022,0.194948927,0.170002011
Culex_nigripalpus,Cxn,August,presence,0.175293959,0.138010181,0.13345781
Culex_nigripalpus,Cxn,September,presence,0.122687178,0.100029141,0.081217476
Culex_nigripalpus,Cxn,October,presence,0.125498181,0.104969244,0.088878342
Culex_nigripalpus,Cxn,November,presence,0.476226733,0.462656289,0.259759829
Culex_nigripalpus,Cxn,December,presence,0.64536504,0.713141799,0.184467807
Culex_nigripalpus,Cxn,January,abundance,17.41096281,15.21119404,6.981727263
Culex_nigripalpus,Cxn,February,abundance,16.32638125,14.61597919,7.127035414
Culex_nigripalpus,Cxn,March,abundance,15.21021009,14.67972946,5.903569889
