"x","y_mean","y_sd","y_lower","y_upper","n_models"
17.6930548792152,20.8255083697671,2.41224764803056,16.2548488101008,25.3823506365273,100
20.496376083852,20.8255083697671,2.41224764803056,16.2548488101008,25.3823506365273,100
23.2996972884889,20.9043558430129,2.42940523939926,16.5356906173865,25.5440976268728,100
26.1030184931257,20.91844525465,2.4298612027306,16.5592755172558,25.5453771378938,100
28.9063396977626,16.21773668555,1.59569392449339,13.3722310819899,19.3327063754812,100
31.7096609023994,16.0987386776985,1.57444005408229,13.4615424869161,19.0636864623203,100
34.5129821070363,16.0987386776985,1.57444005408229,13.4615424869161,19.0636864623203,100
37.3163033116731,16.0986124894697,1.57439230310147,13.459380942658,19.0636864623203,100
40.11962451631,16.1881279562037,1.50279651432134,13.509371985271,18.9267815425731,100
42.9229457209468,16.1881279562037,1.50279651432134,13.509371985271,18.9267815425731,100
45.7262669255837,16.1861754105872,1.50241704291861,13.491179572406,18.9267815425731,100
48.5295881302205,16.1861700023415,1.50250385047385,13.4920319169916,18.9267815425731,100
51.3329093348574,16.1968111011159,1.50281565801759,13.4957905684066,18.9267815425731,100
54.1362305394942,16.1655644245642,1.50251514000488,13.4898959745474,18.8679509830376,100
56.9395517441311,15.1405132913428,1.47217722973657,12.7136729745689,17.8708886570944,100
59.7428729487679,15.4075372878331,1.5255565559691,12.8269278825366,18.2110179331144,100
62.5461941534047,15.4407926595214,1.52821485568926,12.8626573746326,18.3027258864396,100
65.3495153580416,16.9880786349892,1.17589587595645,14.6465407696526,19.0865910335684,100
68.1528365626784,16.9880545800735,1.1758808487687,14.6465407696526,19.0865910335684,100
70.9561577673153,17.2734082341221,1.00656730678164,14.9411662180425,19.1071004109328,100
73.7594789719521,17.2734082341221,1.00656730678164,14.9411662180425,19.1071004109328,100
76.562800176589,17.3401340805224,0.782177884101448,15.6031842565386,18.9766260174801,100
79.3661213812258,17.3401340805224,0.782177884101448,15.6031842565386,18.9766260174801,100
82.1694425858627,17.324664919724,0.778658929588378,15.5810675903256,18.9096741800921,100
84.9727637904995,16.9668564074363,0.733701518623272,15.592294147484,18.3950847522272,100
87.7760849951364,16.9668564074363,0.733701518623272,15.592294147484,18.3950847522272,100
90.5794061997732,16.6807233804364,0.929079259061171,15.0212218775075,18.4293506210505,100
93.38272740441,16.6807233804364,0.929079259061171,15.0212218775075,18.4293506210505,100
96.1860486090469,17.3560432297092,0.976727271991412,15.4504174329019,19.1590204647913,100
98.9893698136838,18.8543310271723,0.964314900851073,17.0805955514245,20.6510439193962,100
101.792691018321,18.8541970550827,0.963740411925562,17.0763112275662,20.6528064138894,100
104.596012222957,19.2990250859462,1.02505668603144,17.6322153905375,21.3049931118775,100
107.399333427594,18.7639309204052,0.853707934861986,17.2500045639711,20.6013587192062,100
110.202654632231,18.4557422873483,0.746502521612545,16.969883571016,19.9749284632764,100
113.005975836868,18.5043912150159,0.733475754399737,17.1613468016024,20.1162098673982,100
115.809297041505,18.5043912150159,0.733475754399737,17.1613468016024,20.1162098673982,100
118.612618246142,18.5043912150159,0.733475754399737,17.1613468016024,20.1162098673982,100
121.415939450779,18.5043912150159,0.733475754399737,17.1613468016024,20.1162098673982,100
124.219260655415,18.5043912150159,0.733475754399737,17.1613468016024,20.1162098673982,100
127.022581860052,18.5043912150159,0.733475754399737,17.1613468016024,20.1162098673982,100
129.825903064689,18.5043912150159,0.733475754399737,17.1613468016024,20.1162098673982,100
132.629224269326,18.5043912150159,0.733475754399737,17.1613468016024,20.1162098673982,100
135.432545473963,18.5043912150159,0.733475754399737,17.1613468016024,20.1162098673982,100
138.2358666786,18.5043912150159,0.733475754399737,17.1613468016024,20.1162098673982,100
141.039187883236,18.5043912150159,0.733475754399737,17.1613468016024,20.1162098673982,100
143.842509087873,18.5043912150159,0.733475754399737,17.1613468016024,20.1162098673982,100
146.64583029251,18.5043912150159,0.733475754399737,17.1613468016024,20.1162098673982,100
149.449151497147,18.5043912150159,0.733475754399737,17.1613468016024,20.1162098673982,100
152.252472701784,18.5043912150159,0.733475754399737,17.1613468016024,20.1162098673982,100
155.055793906421,18.5043912150159,0.733475754399737,17.1613468016024,20.1162098673982,100
157.859115111058,18.5043912150159,0.733475754399737,17.1613468016024,20.1162098673982,100
160.662436315694,18.5043912150159,0.733475754399737,17.1613468016024,20.1162098673982,100
163.465757520331,18.5043912150159,0.733475754399737,17.1613468016024,20.1162098673982,100
166.269078724968,18.5043912150159,0.733475754399737,17.1613468016024,20.1162098673982,100
169.072399929605,18.5043912150159,0.733475754399737,17.1613468016024,20.1162098673982,100
171.875721134242,18.5046283242542,0.733343856385972,17.1613468016024,20.1146415862226,100
174.679042338879,18.5046283242542,0.733343856385972,17.1613468016024,20.1146415862226,100
177.482363543515,18.5172704867785,0.732956568260824,17.1743290111894,20.1228143299736,100
180.285684748152,18.5172704867785,0.732956568260824,17.1743290111894,20.1228143299736,100
183.089005952789,18.5164967635655,0.732997528338742,17.1743290111894,20.1228143299736,100
185.892327157426,18.5101109107123,0.729688327078884,17.1671985489144,20.1188826888922,100
188.695648362063,18.5441654490287,0.723936330405133,17.2229391672376,20.1095705077203,100
191.4989695667,18.6214767184318,0.736908259551923,17.3450658175318,20.2638197155341,100
194.302290771337,18.6118500539432,0.736506014181492,17.334186739463,20.2501113459106,100
197.105611975973,18.6118500539432,0.736506014181492,17.334186739463,20.2501113459106,100
199.90893318061,18.6091441845066,0.736641952649994,17.3320384406298,20.2492289360807,100
202.712254385247,18.6308362340757,0.738274399253803,17.3580526800819,20.2613913969585,100
